{Epoch 0, Train_Loss: 0.6578354239463806, Valid_Loss: 0.7992363572120667, Accuracy: 82.61703760552571, RMSE: 20.0},
{Epoch 1, Train_Loss: 0.817154586315155, Valid_Loss: 0.8653115034103394, Accuracy: 82.61703760552571, RMSE: 21.51844596862793},
{Epoch 2, Train_Loss: 0.49378013610839844, Valid_Loss: 0.5789523124694824, Accuracy: 82.61703760552571, RMSE: 13.269776344299316},
{Epoch 3, Train_Loss: 0.5204247832298279, Valid_Loss: 0.8434138894081116, Accuracy: 82.61703760552571, RMSE: 18.996566772460938},
{Epoch 4, Train_Loss: 0.5227172374725342, Valid_Loss: 0.616486132144928, Accuracy: 82.54029163468918, RMSE: 12.683436393737793},
{Epoch 5, Train_Loss: 0.5068716406822205, Valid_Loss: 0.6213782429695129, Accuracy: 82.42517267843438, RMSE: 17.257638931274414},
{Epoch 6, Train_Loss: 0.8441675305366516, Valid_Loss: 0.5810295343399048, Accuracy: 82.54029163468918, RMSE: 15.251514434814453},
{Epoch 7, Train_Loss: 0.7629938721656799, Valid_Loss: 0.6481480598449707, Accuracy: 82.69378357636224, RMSE: 9.780193328857422},
{Epoch 8, Train_Loss: 0.42789244651794434, Valid_Loss: 0.5837534070014954, Accuracy: 82.61703760552571, RMSE: 19.94557762145996},
{Epoch 9, Train_Loss: 0.7668879628181458, Valid_Loss: 0.8601669669151306, Accuracy: 82.46354566385264, RMSE: 24.847360610961914},
{Epoch 10, Train_Loss: 0.6946075558662415, Valid_Loss: 0.7061079144477844, Accuracy: 82.69378357636224, RMSE: 16.285497665405273},
{Epoch 11, Train_Loss: 0.6262936592102051, Valid_Loss: 0.8823242783546448, Accuracy: 82.88564850345357, RMSE: 22.88914680480957},
{Epoch 12, Train_Loss: 0.35040679574012756, Valid_Loss: 0.587491512298584, Accuracy: 82.88564850345357, RMSE: 21.669452667236328},

{******************************Training finished**********************************},
