{Epoch 0, Train_Loss: 1.3614864349365234, Valid_Loss: 0.6150238513946533, Accuracy: 82.61703760552571, RMSE: 22.698400497436523},
{Epoch 1, Train_Loss: 0.5134156346321106, Valid_Loss: 0.7764362692832947, Accuracy: 82.61703760552571, RMSE: 20.323471069335938},
{Epoch 2, Train_Loss: 0.4935036599636078, Valid_Loss: 0.6859372854232788, Accuracy: 82.61703760552571, RMSE: 14.295027732849121},
{Epoch 3, Train_Loss: 0.693206250667572, Valid_Loss: 0.9553841352462769, Accuracy: 82.65541059094397, RMSE: 26.865203857421875},
{Epoch 4, Train_Loss: 0.521117627620697, Valid_Loss: 0.8584696054458618, Accuracy: 82.54029163468918, RMSE: 26.333974838256836},
{Epoch 5, Train_Loss: 0.26435616612434387, Valid_Loss: 0.6123414039611816, Accuracy: 82.46354566385264, RMSE: 26.784160614013672},
{Epoch 6, Train_Loss: 0.508934736251831, Valid_Loss: 0.6884192824363708, Accuracy: 82.61703760552571, RMSE: 14.142135620117188},
{Epoch 7, Train_Loss: 0.6493282914161682, Valid_Loss: 0.579846978187561, Accuracy: 82.73215656178051, RMSE: 13.104928016662598},
{Epoch 8, Train_Loss: 0.6368147730827332, Valid_Loss: 0.5775749683380127, Accuracy: 82.57866462010745, RMSE: 15.533973693847656},
{Epoch 9, Train_Loss: 0.6671437621116638, Valid_Loss: 0.7311197519302368, Accuracy: 82.88564850345357, RMSE: 22.11629295349121},
{Epoch 10, Train_Loss: 0.5459117889404297, Valid_Loss: 0.6956964731216431, Accuracy: 82.92402148887183, RMSE: 23.452077865600586},
{Epoch 11, Train_Loss: 0.7498448491096497, Valid_Loss: 0.601498007774353, Accuracy: 82.69378357636224, RMSE: 21.51844596862793},
{Epoch 12, Train_Loss: 0.4933496415615082, Valid_Loss: 0.9970719814300537, Accuracy: 82.69378357636224, RMSE: 21.007246017456055},

{******************************Training finished**********************************},
