{Epoch 0, Train_Loss: 0.7801165580749512, Valid_Loss: 1.2167474031448364, Accuracy: 82.61703760552571, RMSE: 23.636743545532227},
{Epoch 1, Train_Loss: 0.6088334918022156, Valid_Loss: 0.9440569877624512, Accuracy: 82.61703760552571, RMSE: 26.8247127532959},
{Epoch 2, Train_Loss: 0.46561065316200256, Valid_Loss: 1.0211787223815918, Accuracy: 82.61703760552571, RMSE: 22.60242462158203},
{Epoch 3, Train_Loss: 0.4630734920501709, Valid_Loss: 0.6797106266021729, Accuracy: 82.61703760552571, RMSE: 10.733936309814453},
{Epoch 4, Train_Loss: 0.4377621114253998, Valid_Loss: 0.41402050852775574, Accuracy: 82.57866462010745, RMSE: 19.392961502075195},
{Epoch 5, Train_Loss: 0.6939721703529358, Valid_Loss: 1.0779106616973877, Accuracy: 82.50191864927092, RMSE: 30.0},
{Epoch 6, Train_Loss: 0.64254230260849, Valid_Loss: 0.7610249519348145, Accuracy: 82.54029163468918, RMSE: 23.031169891357422},
{Epoch 7, Train_Loss: 0.5688607692718506, Valid_Loss: 0.6799839735031128, Accuracy: 82.54029163468918, RMSE: 22.88914680480957},
{Epoch 8, Train_Loss: 0.7477202415466309, Valid_Loss: 0.8606662750244141, Accuracy: 82.77052954719878, RMSE: 23.819976806640625},
{Epoch 9, Train_Loss: 0.4680880010128021, Valid_Loss: 0.6591172218322754, Accuracy: 82.65541059094397, RMSE: 18.533166885375977},
{Epoch 10, Train_Loss: 0.7432466745376587, Valid_Loss: 0.46640288829803467, Accuracy: 82.80890253261704, RMSE: 17.257638931274414},
{Epoch 11, Train_Loss: 0.5851039290428162, Valid_Loss: 0.5589394569396973, Accuracy: 82.77052954719878, RMSE: 18.533166885375977},
{Epoch 12, Train_Loss: 0.9017139077186584, Valid_Loss: 0.7734028100967407, Accuracy: 82.9623944742901, RMSE: 15.463842391967773},

{******************************Training finished**********************************},
