{Epoch 0, Train_Loss: 1.6969913244247437, Valid_Loss: 1.1402091979980469, Accuracy: 82.61703760552571, RMSE: 21.71955680847168},
{Epoch 1, Train_Loss: 1.057181715965271, Valid_Loss: 1.063894510269165, Accuracy: 82.61703760552571, RMSE: 12.683436393737793},
{Epoch 2, Train_Loss: 1.0792040824890137, Valid_Loss: 0.9533886313438416, Accuracy: 82.61703760552571, RMSE: 20.74692153930664},
{Epoch 3, Train_Loss: 1.1341664791107178, Valid_Loss: 0.80135577917099, Accuracy: 82.61703760552571, RMSE: 13.269776344299316},
{Epoch 4, Train_Loss: 0.724687397480011, Valid_Loss: 0.9811580777168274, Accuracy: 82.61703760552571, RMSE: 14.295027732849121},
{Epoch 5, Train_Loss: 1.7403078079223633, Valid_Loss: 1.7411118745803833, Accuracy: 82.61703760552571, RMSE: 33.9756965637207},
{Epoch 6, Train_Loss: 0.6875988841056824, Valid_Loss: 1.0476149320602417, Accuracy: 82.61703760552571, RMSE: 20.430156707763672},
{Epoch 7, Train_Loss: 1.5789474248886108, Valid_Loss: 1.3896673917770386, Accuracy: 82.61703760552571, RMSE: 24.891067504882812},
{Epoch 8, Train_Loss: 0.9495121836662292, Valid_Loss: 0.8933484554290771, Accuracy: 82.61703760552571, RMSE: 26.4575138092041},
{Epoch 9, Train_Loss: 0.6543527245521545, Valid_Loss: 0.8523956537246704, Accuracy: 82.61703760552571, RMSE: 13.593476295471191},
{Epoch 10, Train_Loss: 1.6516411304473877, Valid_Loss: 1.3896516561508179, Accuracy: 82.61703760552571, RMSE: 24.18227767944336},
{Epoch 11, Train_Loss: 0.9842866659164429, Valid_Loss: 0.4605678915977478, Accuracy: 82.61703760552571, RMSE: 20.323471069335938},

{******************************Training finished**********************************},
