{Epoch 0, Train_Loss: 0.9925094246864319, Valid_Loss: 1.3040131330490112, Accuracy: 82.61703760552571, RMSE: 15.948286056518555},
{Epoch 1, Train_Loss: 0.9878318905830383, Valid_Loss: 0.79575115442276, Accuracy: 82.61703760552571, RMSE: 18.881784439086914},
{Epoch 2, Train_Loss: 1.1778764724731445, Valid_Loss: 1.181944489479065, Accuracy: 82.61703760552571, RMSE: 25.281028747558594},
{Epoch 3, Train_Loss: 0.6680909991264343, Valid_Loss: 0.9497561454772949, Accuracy: 82.61703760552571, RMSE: 20.430156707763672},
{Epoch 4, Train_Loss: 0.8351904153823853, Valid_Loss: 0.8675755858421326, Accuracy: 82.61703760552571, RMSE: 17.507762908935547},
{Epoch 5, Train_Loss: 0.4311612844467163, Valid_Loss: 1.4655659198760986, Accuracy: 82.61703760552571, RMSE: 24.405986785888672},
{Epoch 6, Train_Loss: 1.4076354503631592, Valid_Loss: 1.210601806640625, Accuracy: 82.61703760552571, RMSE: 22.165386199951172},
{Epoch 7, Train_Loss: 0.6867271661758423, Valid_Loss: 1.058834195137024, Accuracy: 82.61703760552571, RMSE: 17.06764030456543},
{Epoch 8, Train_Loss: 1.1985552310943604, Valid_Loss: 0.9699380397796631, Accuracy: 82.61703760552571, RMSE: 7.8018951416015625},
{Epoch 9, Train_Loss: 0.6421047449111938, Valid_Loss: 0.8863722085952759, Accuracy: 82.61703760552571, RMSE: 16.08401870727539},
{Epoch 10, Train_Loss: 1.623151421546936, Valid_Loss: 1.2961673736572266, Accuracy: 82.61703760552571, RMSE: 30.10849952697754},
{Epoch 11, Train_Loss: 1.3386033773422241, Valid_Loss: 0.9854572415351868, Accuracy: 82.61703760552571, RMSE: 12.59744644165039},

{******************************Training finished**********************************},
