{Epoch 0, Train_Loss: 1.34123957157135, Valid_Loss: 2.41882586479187, Accuracy: 82.57866462010745, RMSE: 28.665992736816406},
{Epoch 1, Train_Loss: 1.6785433292388916, Valid_Loss: 0.7586290240287781, Accuracy: 82.61703760552571, RMSE: 11.795356750488281},
{Epoch 2, Train_Loss: 1.0207403898239136, Valid_Loss: 1.350085973739624, Accuracy: 82.61703760552571, RMSE: 24.759716033935547},
{Epoch 3, Train_Loss: 0.8921045064926147, Valid_Loss: 1.0892531871795654, Accuracy: 82.61703760552571, RMSE: 27.02655792236328},
{Epoch 4, Train_Loss: 1.1202013492584229, Valid_Loss: 0.7893892526626587, Accuracy: 82.61703760552571, RMSE: 23.452077865600586},
{Epoch 5, Train_Loss: 1.4676202535629272, Valid_Loss: 0.8871578574180603, Accuracy: 82.61703760552571, RMSE: 17.876386642456055},
{Epoch 6, Train_Loss: 0.4906526505947113, Valid_Loss: 1.153040885925293, Accuracy: 82.61703760552571, RMSE: 23.86556625366211},
{Epoch 7, Train_Loss: 1.4649490118026733, Valid_Loss: 0.3860481381416321, Accuracy: 82.61703760552571, RMSE: 11.978240966796875},
{Epoch 8, Train_Loss: 1.0749696493148804, Valid_Loss: 0.7441829442977905, Accuracy: 82.61703760552571, RMSE: 17.003835678100586},
{Epoch 9, Train_Loss: 0.9391136169433594, Valid_Loss: 0.721139132976532, Accuracy: 82.61703760552571, RMSE: 22.06709098815918},
{Epoch 10, Train_Loss: 1.118196725845337, Valid_Loss: 1.0093324184417725, Accuracy: 82.61703760552571, RMSE: 23.636743545532227},
{Epoch 11, Train_Loss: 1.4628257751464844, Valid_Loss: 0.6262449622154236, Accuracy: 82.61703760552571, RMSE: 14.52134895324707},

{******************************Training finished**********************************},
